# step,acceptance,delta_H
555, 0.688849, 0.315385
556, 0.689408, 1.44512
557, 0.688172, 1.72092
558, 0.68873, -0.753809
559, 0.689286, 0.649538
560, 0.688057, 1.61925
561, 0.688612, 0.254012
562, 0.689165, -0.208814
563, 0.689716, -0.186815
564, 0.690265, 0.0703915
565, 0.690813, 0.65571
566, 0.689594, 0.57721
567, 0.68838, 0.867886
568, 0.688928, 0.784989
569, 0.687719, 1.15522
570, 0.686515, 0.216888
571, 0.687063, -0.810908
572, 0.687609, 0.0437317
573, 0.688153, 0.615353
574, 0.688696, -0.0358679
575, 0.689236, 0.50063
576, 0.689775, -0.133136
577, 0.688581, 1.73752
578, 0.689119, -0.357348
579, 0.689655, 0.00881802
580, 0.688468, 0.906375
581, 0.689003, -0.766812
582, 0.689537, 1.27972
583, 0.690068, -0.48198
584, 0.690598, -0.11501
585, 0.691126, 0.504782
586, 0.691652, -1.19329
587, 0.690476, 0.223028
588, 0.689304, 1.82208
589, 0.689831, 0.365269
590, 0.688663, 0.354083
591, 0.689189, -0.948707
592, 0.689713, -0.803952
593, 0.690236, -0.0178512
594, 0.690756, -0.206372
595, 0.691275, 1.30971
596, 0.691792, -0.179974
597, 0.692308, 0.552512
598, 0.691152, 1.13784
599, 0.69, 0.268423
600, 0.690516, -0.444977
601, 0.689369, 0.70343
602, 0.689884, -0.461329
603, 0.688742, 0.669329
604, 0.689256, 0.657696
605, 0.688119, 1.14989
606, 0.688633, -0.114157
607, 0.6875, 0.149086
608, 0.688013, 1.68161
609, 0.686885, 1.31312
610, 0.685761, 1.25022
611, 0.684641, 0.680644
612, 0.685155, 0.787535
613, 0.685668, -0.14949
614, 0.686179, -0.815071
615, 0.686688, -2.446
616, 0.687196, 0.723297
617, 0.687702, 0.866447
618, 0.688207, 1.20337
619, 0.687097, 0.675917
620, 0.687601, -0.234033
621, 0.688103, -0.0095969
622, 0.686998, 0.165082
623, 0.685897, 1.02856
624, 0.6864, -0.341732
625, 0.686901, -0.209712
626, 0.6874, 0.608896
627, 0.687898, -0.108529
628, 0.688394, 0.783481
629, 0.688889, -1.14223
630, 0.687797, 1.68426
631, 0.686709, 2.10854
632, 0.685624, 0.73441
633, 0.68612, 0.0891001
634, 0.685039, 0.438302
635, 0.683962, 1.0579
636, 0.684458, 0.174471
637, 0.684953, 0.295891
638, 0.685446, 0.672399
639, 0.685937, 0.502518
640, 0.684867, 1.0119
641, 0.685358, 0.128907
642, 0.685848, -0.586769
643, 0.686335, 0.3077
644, 0.686822, -0.00227357
645, 0.687307, -0.636297
646, 0.68779, 0.779578
647, 0.688272, -1.05315
648, 0.688752, 0.879137
649, 0.689231, -0.514417
650, 0.689708, -0.131272
651, 0.690184, -2.03028
652, 0.690658, 0.284176
653, 0.689602, 0.985236
654, 0.68855, 1.40294
655, 0.6875, 1.21963
656, 0.687976, -0.249257
657, 0.68845, -0.430515
658, 0.688923, -0.192496
659, 0.689394, -0.631925
660, 0.688351, 2.12834
661, 0.688822, -0.155289
662, 0.689291, 0.00660176
663, 0.689759, -0.379482
664, 0.690226, 0.306712
665, 0.689189, 1.3917
666, 0.689655, -0.134119
667, 0.688623, 0.877012
668, 0.689088, 0.915737
669, 0.689552, -0.653431
670, 0.690015, -0.71893
671, 0.688988, 1.59082
672, 0.68945, -0.987938
673, 0.689911, -0.0223855
674, 0.69037, 0.224629
675, 0.690828, 0.137259
676, 0.689808, 1.56367
677, 0.688791, 0.578235
678, 0.689249, 0.75085
679, 0.689706, -0.722248
680, 0.688693, 0.903234
681, 0.687683, 2.101
682, 0.688141, 0.0665859
683, 0.688596, -0.647552
684, 0.689051, -0.219217
685, 0.688047, 1.09057
686, 0.688501, 0.988047
687, 0.688953, 0.197929
688, 0.689405, -0.345881
689, 0.689855, 0.489391
690, 0.690304, 0.491035
691, 0.690751, 0.195009
692, 0.691198, 0.0721218
693, 0.691643, -0.578067
694, 0.692086, 0.281173
695, 0.692529, -0.1995
696, 0.69297, -1.88957
697, 0.69341, -0.504066
698, 0.693848, 0.257772
699, 0.694286, 0.669718
